Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
COL963,COL 963,10.18730/PBDZ7,"COL 963, COR-378",Zambita,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,Chima,Casco Urbano,02-12-1969,10,9.1167,-75.5667,,,,Victor Manuel Patino,02-12-1969,Bush,155,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
COL942,COL 942,10.18730/P859R,"COL 942, COR-357",,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,Tierralta,Jose M. Diez P.,01-12-1969,80,8.1667,-76.05,,,,Victor Manuel Patino,01-12-1969,Bush,170,Present,Lanceolate,,,,White,38.84,219,1.5,21.81,50.5,65.5,1023,450,2.35,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL946,COL 946,10.18730/P9SAR,"COL 946, COR-361",Loriquera,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,Tierralta,Los Placeres,01-12-1969,80,8.1667,-76.05,,,,Victor Manuel Patino,01-12-1969,Bush,,,,,,,,42.82,153,4.31,20.04,45.2,65.1,805,287,3.85,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL932,COL 932,10.18730/PBE19,"COL 932, COR-347",Guarumera,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,Monte Libano,Alfonso Cardenas,30-11-1969,100,7.9,-75.3833,,,,Victor Manuel Patino,30-11-1969,Bush,170,Present,Elliptic-Lanceolate,Purple,Dark Green,Five Lobes,White,41.11,69,3.78,22.58,54.7,66.45,647,172,3.26,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL910,COL 910,10.18730/P8YHJ,"BOL-320, COL 910",Amarilla,Manihot,esculenta,,,Landrace,0,Colombia,Bolivar,San Jacinto,San Pedro,03-12-1969,200,9.75,-75.1,,,,Victor Manuel Patino,03-12-1969,Bush,,,,,,,,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
COL893,COL 893,10.18730/PC6JH,"ANT-408, COL 893",Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Apartado,La Floresta,03-12-1969,200,7.8,-76.5667,,,,Pablo Emilio Daza,03-12-1969,Bush,215,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL894A,COL 894A,10.18730/P85DW,"ANT-409, COL 894A",Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Apartado,La Floresta,03-12-1969,200,7.8833,-76.6667,,,,Pablo Emilio Daza,03-12-1969,Bush,125,Absent,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL896A,COL 896A,10.18730/PD05P,"ANT-411, COL 896A",Sauce,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Apartado,La Floresta,03-12-1969,200,7.8833,-76.6667,,,,Pablo Emilio Daza,,Bush,265,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL856,COL 856,10.18730/PBE4C,"ANT-371, COL 856",Palmire#A,Manihot,esculenta,,,Landrace,1,Colombia,Antioquia,Sevilla,El Palon,28-11-1969,1680,6.2667,-75.7,,,,Pablo Emilio Daza,28-11-1969,Bush,165,Present,Straight or Linear,,,,White,23.26,101,3.6,22.37,33.0,65.1,893,189,4.66,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
CM308-197,CM 308- 197,10.18730/P9E3=,CM 308- 197,,Manihot,esculenta,,,Improved-Line (COL 22xCOL 361),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,120,Present,Lanceolate,Green,Dark Green,Nine Lobes,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
CM321-188,CM 321- 188,10.18730/PDFR3,CM 321- 188,Cm 321-188,Manihot,esculenta,,,Improved-Line (COL 22xVEN 270),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,190,Present,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
CM981-8,CM 981- 8,10.18730/PBVJ=,CM 981- 8,,Manihot,esculenta,,,Improved-Line ( CM 321- 170xCOL 1292),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,175,Present,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,n,,,,,Cesar Humberto Ocampo Nahar
CM982-20,CM 982- 20,10.18730/PB37~,CM 982- 20,,Manihot,esculenta,,,Improved-Line ( CM 321- 170xCOL 1684),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,205,Present,Lanceolate,Green With Little Red,Dark Green,Nine Lobes,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
CM6070-1,CM 6070- 1,10.18730/PB3C1,CM 6070- 1,,Manihot,esculenta,,,Improved-Line ( SG 591- 3x SG 618- 3),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,235,Present,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
CM4574-7,CM 4574- 7,10.18730/PDFX8,CM 4574- 7,,Manihot,esculenta,,,Improved-Line ( CM 976- 15x SM 301- 3),1,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,230,Absent,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
CG1118-15,CG 1118- 15,10.18730/P7T95,CG 1118- 15,,Manihot,esculenta,,,Improved-Line (COL 2017xCOL 2060),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,170,Present,Lanceolate,Green With Little Red,Dark Green,Seven Lobes,White,,,,,,,,,,,,,86,,96,,Cesar Humberto Ocampo Nahar
CM2146-3,CM 2146- 3,10.18730/PBVT6,CM 2146- 3,,Manihot,esculenta,,,Improved-Line ( CM 180- 5xCOL 1468),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,180,Present,Elliptic-Lanceolate,Red,Light Green,Seven Lobes,White,,,,,,,,,,,,,86,,96,100,Cesar Humberto Ocampo Nahar
PAR201,PAR 201,10.18730/P9EMF,"226, M 226",Seda Moroti,Manihot,esculenta,,,Landrace,0,Paraguay,,,,,,,,Ciatcas-0117,INSTITUTO AGRONOMICO NACIONAL - PARAGUAY,Paraguay,,01-10-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
JACXXX-28,JAC XXX- 28,10.18730/PDG7J,,,Manihot,jacobinensis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PAR199,PAR 199,10.18730/P7TGC,"216, M 216",Tapo Joa Pyta,Manihot,esculenta,,,Landrace,0,Paraguay,,,,,,,,Ciatcas-0117,INSTITUTO AGRONOMICO NACIONAL - PARAGUAY,Paraguay,,01-10-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
ARG78,ARG 78,10.18730/PB3QC,"48, IGE048",Pombera Amarilla,Manihot,esculenta,,,Landrace,0,Argentina,Misiones,San Javier,Itacuare Kms: 0,10-05-1993,120,-27.8667,-55.2667,,,,"Carlos Iglesias, Irland Luis Gnoato, Miguel Elechosa",28-07-1995,Bush,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLAXXX-57,FLA XXX- 57,10.18730/PDGCQ,,,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
ARG90,ARG 90,10.18730/PB3VG,"105, IGE105",Herradura,Manihot,esculenta,,,Landrace,0,Argentina,Formosa,Pirane,Inta-El Colorado Kms: 2,12-05-1993,80,-26.3,-59.3667,,,,"Carlos Iglesias, Irland Luis Gnoato, Miguel Elechosa",28-07-1995,Bush,,,,,,,,30.89,390,2.3,22.88,32.5,66.7,809,249,3.42,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
ARG79,ARG 79,10.18730/PBVYA,"52, IGE052",Parana,Manihot,esculenta,,,Landrace,0,Argentina,Misiones,San Javier,Itacaruare Kms: 0,10-05-1993,140,-27.8,-55.3,,,,"Carlos Iglesias, Irland Luis Gnoato, Miguel Elechosa",28-07-1995,Bush,,Present,Linear-Pandurate,Red,Dark Green,Seven Lobes,,25.93,100,9.4,23.76,19.5,65.4,644,179,3.98,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
CM438-14,CM 438- 14,10.18730/P8KYC,CM 438- 14,,Manihot,esculenta,,,Improved-Line,0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,230,Absent,Linear-Pandurate,Green,Dark Green,Nine Lobes,Yellow,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
SG601-1,SG 601- 1,10.18730/PA9NX,SG 601- 1,,Manihot,esculenta,,,Improved-Line,0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,225,Present,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
BRA1361,BRA 1361,10.18730/PDGFT,"BGM 0934, BRA-078115",Maria Mole,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Barreiras,,,452,-12.15,-44.9833,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,21-05-1992,,,,,,,,,28.79,334,2.6,19.89,49.0,63.2,673,274,2.67,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
BRA1379,BRA 1379,10.18730/P8M1F,"3177, BGM 1059, BRA-073156",Castelana,Manihot,esculenta,,,Landrace,0,Brazil,Rio Grande Do Norte,Pureza,,,40,-5.4667,-35.55,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,"Werneck, Antonio C. Allem",21-05-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1397,BRA 1397,10.18730/PB46V,"BGM 1468, BRA-102491",Troxinha,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,15-02-1993,,,Absent,Lanceolate,Red With Little Green,Dark Green,Five Lobes,,30.12,802,3.5,20.99,48.8,65.85,765,306,2.84,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA1435,BRA 1435,10.18730/P8M2G,"BGM 0447, BRA-003158",Raimunda,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,12-10-1992,,,Absent,Lanceolate,Red,Dark Green,Seven Lobes,,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
ARG54,ARG 54,10.18730/P7TZV,"113, IGE113",Pomberi Ec,Manihot,esculenta,,,Landrace,0,Argentina,Formosa,Pirane,Inta-El Colorado Kms: 2,12-05-1993,80,-26.3,-59.3667,,,,"Carlos Iglesias, Irland Luis Gnoato, Miguel Elechosa",08-04-1994,Bush,,Present,Straight or Linear,Red,Dark Green,Five Lobes,,,,,,,,,,,,,,86,,96,,Cesar Humberto Ocampo Nahar
ARG42,ARG 42,10.18730/PDGX3,"75, IGE075",,Manihot,esculenta,,,Landrace,0,Argentina,Misiones,Cainguas,Aristobulo D Val Kms: 10,10-05-1993,380,-27.2167,-54.9333,,,,"Carlos Iglesias, Irland Luis Gnoato, Miguel Elechosa",08-04-1994,Bush,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
VEN328,VEN 328,10.18730/PCN42,,,Manihot,esculenta,,,Landrace,0,Venezuela,,,,,,,,,,,,,,140,Present,Obovate-Lanceolate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
VEN294,VEN 294,10.18730/P7V5~,,,Manihot,esculenta,,,Landrace,0,Venezuela,,,,,,,,,,,,,,250,,Elliptic-Lanceolate,,,,,35.49,1006,2.36,20.77,34.1,66.25,670,232,3.32,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
VEN304,VEN 304,10.18730/PCNA8,,,Manihot,esculenta,,,Landrace,0,Venezuela,,,,,,,,,,,,,,245,Present,Elliptic-Lanceolate,,,,White,31.13,2005,2.0,20.26,22.25,63.8,726,288,2.97,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
VEN276,VEN 276,10.18730/PDH06,,,Manihot,esculenta,,,Landrace,1,Venezuela,,,,,,,,,,,,,,240,Absent,Lanceolate,,,,White,25.09,650,2.83,19.96,47.6,64.85,746,307,2.02,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
VEN284B,VEN 284B,10.18730/P7V8U,,,Manihot,esculenta,,,Landrace,1,Venezuela,,,,,,,,,,,,,,235,Present,Lanceolate,,,,White,36.3,119,4.2,23.2,47.1,64.4,909,316,3.16,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
VEN287,VEN 287,10.18730/P7V90,,,Manihot,esculenta,,,Landrace,0,Venezuela,,,,,,,,,,,,,,140,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
VEN244,VEN 244,10.18730/PAA47,,,Manihot,esculenta,,,Landrace,1,Venezuela,,,,,,,,,,,,,,200,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
COL2728,COL 2728,10.18730/P8MJ*,"508-2, COL 2728",Lengua De Venado,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,Chinu,V.Cruz D Guayabo,18-02-1987,,9.1,-75.4,,,,Benjamin Pineda,18-02-1988,Bush,180,Absent,Linear-Pandurate,,,,White,45.1,103,3.75,19.52,34.5,67.05,771,250,3.26,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
TAI20,TAI 20,10.18730/PB4H1,,Cm 4049- 2,Manihot,esculenta,,,Improved-Line,0,Thailand,,,,,,,,,,,Kazuo Kawano,02-12-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
COL2715,COL 2715,10.18730/PDH7D,"216-1, COL 2715",Sardina,Manihot,esculenta,,,Landrace,0,Colombia,Bolivar,San Jacinto,Ver.Arroyo Maria,15-02-1987,,9.75,-75.1,,,,Benjamin Pineda,15-02-1987,Bush,145,,Lanceolate,,,,,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL2721,COL 2721,10.18730/PB4J2,"301-3, COL 2721",Espelucada,Manihot,esculenta,,,Landrace,0,Colombia,Sucre,San Juan De Betulia,Ver. C.Municipal,17-02-1987,,9.2667,-75.25,,,,Benjamin Pineda,17-02-1988,Bush,245,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
COL2705,COL 2705,10.18730/PBWDS,,,Manihot,esculenta,,,Landrace,0,,Bolivar,El Carmen,Ver. Santa Lucia,12-02-1987,,9.75,-75.1667,,,,,12-02-1987,Bush,95,Absent,Elliptic-Lanceolate,,,,White,39.28,78,2.2,18.65,61.0,63.2,317,178,2.25,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,,Cesar Humberto Ocampo Nahar
COL2713,COL 2713,10.18730/P9FRE,"209-9, COL 2713",Venezolana,Manihot,esculenta,,,Landrace,0,Colombia,Bolivar,San Juan,Ver. Botijuela,15-02-1987,,10.2833,-75.2833,,,,Benjamin Pineda,15-02-1987,Bush,180,Present,Oblong-Lanceolate,Green-Yellow,Dark Green,Five Lobes,White,39.51,100,3.4,22.88,52.8,64.35,667,233,3.36,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
BRA926,BRA 926,10.18730/PASTW,BRA-067636,Recanto Iii,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,,,,,01-04-1988,,180,Absent,Lanceolate,,,,White,33.66,176,1.66,20.99,45.3,65.3,757,344,2.28,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
BRA909,BRA 909,10.18730/P8AG6,BRA-068411,Threnhen,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,,,,,01-04-1988,,190,Absent,Straight or Linear,,,,White,32.14,202,3.86,21.13,71.4,67.25,611,184,3.03,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
BRA883,BRA 883,10.18730/P7H9D,"BGM 0120, BRA-006939",Paulo Rosa,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Ilha Dos Frades,,,10,-12.75,-38.6167,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-03-1988,,240,Absent,Lanceolate,,,,White,22.71,434,8.2,22.52,16.0,67.75,689,202,3.06,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
BRA873,BRA 873,10.18730/P94CM,"BGM 0444, BRA-001350, IAC 46-257",Iac 46-257,Manihot,esculenta,,,Improved-Line,0,Brazil,Sao Paulo,Campinas,,,854,-22.9,-47.05,,,,,01-07-1983,,190,Present,Lanceolate,Red,Dark Green,Five Lobes,White,35.24,214,2.74,19.53,39.0,67.9,664,200,3.1,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA752,BRA 752,10.18730/P9ZR8,BRA-069256,Cca Iii,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,220,Absent,Elliptic-Lanceolate,,,,Cream,41.59,331,3.03,18.48,50.3,66.35,789,337,1.92,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA765,BRA 765,10.18730/PBKGU,BRA-069434,Florianopolis Ii,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,195,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
BRA727,BRA 727,10.18730/PBKH0,BRA-068926,Mandioca Do Parana,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,200,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
BRA728,BRA 728,10.18730/PCBW2,BRA-068934,Moura,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,,,,,,,,36.41,602,3.1,19.4,62.1,63.1,1000,446,3.03,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA729,BRA 729,10.18730/P8ATG,BRA-068951,Vassourinha,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,145,Absent,Straight or Linear,Red With Little Green,Dark Green,Five Lobes,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL2381,COL 2381,10.18730/PCWMM,116,Iorromoki Curripac,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,La Esperanza,04-03-1986,180,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,04-03-1986,,275,Absent,Lanceolate,Purple,Dark Green,Seven Lobes,,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
COL2322,COL 2322,10.18730/P9P6=,057,Volo Puinave,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,Yuri Ca#O Bocon,26-02-1986,220,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,26-02-1986,,255,Absent,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
COL2323,COL 2323,10.18730/PC32G,058,Pendo Puinave,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,Yuri Ca#O Bocon,26-02-1986,220,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,26-02-1986,,260,Absent,Lanceolate,Red,Dark Green,Seven Lobes,White,35.04,63,2.54,22.03,41.4,63.3,1019,396,2.28,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL2361,COL 2361,10.18730/PCWQQ,096,Saikape Curripaco,Manihot,esculenta,,,Landrace,1,Colombia,Guainia,Puerto Inirida,Bellavista,04-03-1986,180,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,04-03-1986,,135,Absent,Lanceolate,,,,Yellow,39.75,277,2.44,19.89,49.2,66.05,724,343,2.02,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
CUB64,CUB 64,10.18730/PDPV8,,Vareta,Manihot,esculenta,,,Landrace,0,Cuba,,,,,,,,,"CENTRO DE MEJORAMIENTO DE SEMILLAS AGAMICAS FRUCTOSOS CEMSA- ""FRUCTUOSO RODRIGUEZ""",Cuba,,05-07-1979,,,,,,,,,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
CUB67,CUB 67,10.18730/P9MAC,,,Manihot,esculenta,,,Landrace,0,,,,,,,,,,"CENTRO DE MEJORAMIENTO DE SEMILLAS AGAMICAS FRUCTOSOS CEMSA- ""FRUCTUOSO RODRIGUEZ""",,,01-03-1980,,170,Present,Lanceolate,,,,Cream,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
CUB70,CUB 70,10.18730/P80NR,,Holguinera,Manihot,esculenta,,,Landrace,1,Cuba,,,,,,,,,"CENTRO DE MEJORAMIENTO DE SEMILLAS AGAMICAS FRUCTOSOS CEMSA- ""FRUCTUOSO RODRIGUEZ""",Cuba,,01-03-1980,,210,Present,Elliptic-Lanceolate,,,,White,35.96,312,1.88,20.33,35.1,66.8,731,210,3.62,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
CUB11,CUB 11,10.18730/PAFX7,,Uc-8,Manihot,esculenta,,,Landrace,0,Cuba,,,,,,,,,"CENTRO DE MEJORAMIENTO DE SEMILLAS AGAMICAS FRUCTOSOS CEMSA- ""FRUCTUOSO RODRIGUEZ""",Cuba,,05-07-1979,,135,Present,Lanceolate,,,,White,34.15,76,2.21,20.99,63.6,66.65,506,214,1.96,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
HMC2,HMC 2,10.18730/P9MJM,,Manihoica P-13,Manihot,esculenta,,,Improved-Line,0,Colombia,,,,,,,,,,,,,Bush,220,Present,Lanceolate,Red With Little Green,Dark Green,Nine Lobes,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
CR149,CR 149,10.18730/P80WZ,CR 12184,Yuca,Manihot,esculenta,,,Landrace,0,Honduras,Comayagua,Las Cruzitas,,01-12-1980,,,,,CENTRO AGRONOMICO TROPICAL DE INVESTIGACION Y ENSENANZA,Costa Rica,,27-02-1984,,175,Present,Elliptic-Lanceolate,,,,White,33.93,251,6.06,21.89,52.9,68.2,679,227,3.36,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
CR119,CR 119,10.18730/PB9XS,CR 6480,Yuca Num-3041,Manihot,esculenta,,,Landrace,0,Honduras,,Guaimillas,,01-03-1977,,,,,CENTRO AGRONOMICO TROPICAL DE INVESTIGACION Y ENSENANZA,Costa Rica,,27-02-1984,,245,Present,Pandurate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
CR124,CR 124,10.18730/PDQ3G,CR 6485,Yuca Amarilla,Manihot,esculenta,,,Landrace,0,Honduras,,Guaimillas,,01-03-1977,,,,,CENTRO AGRONOMICO TROPICAL DE INVESTIGACION Y ENSENANZA,Costa Rica,,27-02-1984,,120,Present,Lanceolate,Red With Little Green,Dark Green,Nine Lobes,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
CR130,CR 130,10.18730/PC1P9,CR 7350,Yuca P-77-14,Manihot,esculenta,,,Landrace,0,Panama,Cocle,Ola,,01-07-1977,,,,,CENTRO AGRONOMICO TROPICAL DE INVESTIGACION Y ENSENANZA,Costa Rica,,27-02-1984,,230,Present,Lanceolate,Purple,Dark Green,Seven Lobes,White,32.82,125,1.81,21.86,56.7,66.7,517,201,2.02,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
